"fips","population","county","state_abbrev","state:county"
"01001","55416","Autauga","AL","AL:Autauga"
"01003","208563","Baldwin","AL","AL:Baldwin"
"01005","25965","Barbour","AL","AL:Barbour"
"01007","22643","Bibb","AL","AL:Bibb"
"01009","57704","Blount","AL","AL:Blount"
"01011","10362","Bullock","AL","AL:Bullock"
"01013","19998","Butler","AL","AL:Butler"
"01015","114611","Calhoun","AL","AL:Calhoun"
"01017","33843","Chambers","AL","AL:Chambers"
"01019","25725","Cherokee","AL","AL:Cherokee"
"01021","43941","Chilton","AL","AL:Chilton"
"01023","12993","Choctaw","AL","AL:Choctaw"
"01025","24392","Clarke","AL","AL:Clarke"
"01027","13492","Clay","AL","AL:Clay"
"01029","14924","Cleburne","AL","AL:Cleburne"
"01031","51226","Coffee","AL","AL:Coffee"
"01033","54216","Colbert","AL","AL:Colbert"
"01035","12395","Conecuh","AL","AL:Conecuh"
"01037","10581","Coosa","AL","AL:Coosa"
"01039","37458","Covington","AL","AL:Covington"
"01041","13913","Crenshaw","AL","AL:Crenshaw"
"01043","82471","Cullman","AL","AL:Cullman"
"01045","49226","Dale","AL","AL:Dale"
"01047","40008","Dallas","AL","AL:Dallas"
"01049","70900","DeKalb","AL","AL:DeKalb"
"01051","81799","Elmore","AL","AL:Elmore"
"01053","37728","Escambia","AL","AL:Escambia"
"01055","102564","Etowah","AL","AL:Etowah"
"01057","16546","Fayette","AL","AL:Fayette"
"01059","31628","Franklin","AL","AL:Franklin"
"01061","26614","Geneva","AL","AL:Geneva"
"01063","8422","Greene","AL","AL:Greene"
"01065","14952","Hale","AL","AL:Hale"
"01067","17164","Henry","AL","AL:Henry"
"01069","104056","Houston","AL","AL:Houston"
"01071","52138","Jackson","AL","AL:Jackson"
"01073","659521","Jefferson","AL","AL:Jefferson"
"01075","13918","Lamar","AL","AL:Lamar"
"01077","92318","Lauderdale","AL","AL:Lauderdale"
"01079","33244","Lawrence","AL","AL:Lawrence"
"01081","158991","Lee","AL","AL:Lee"
"01083","92753","Limestone","AL","AL:Limestone"
"01085","10358","Lowndes","AL","AL:Lowndes"
"01087","18963","Macon","AL","AL:Macon"
"01089","356967","Madison","AL","AL:Madison"
"01091","19673","Marengo","AL","AL:Marengo"
"01093","29998","Marion","AL","AL:Marion"
"01095","95157","Marshall","AL","AL:Marshall"
"01097","414836","Mobile","AL","AL:Mobile"
"01099","21530","Monroe","AL","AL:Monroe"
